pd_c,clac_nm1,clac_nm2,clac_nm3
211,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Toilet Seats / Covers
212,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Towels
213,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Water-pipe Accessories
214,Cleaning / Laundry / Bathroom Accessories,Cleaning Accessories,Bathroom Bins
215,Cleaning / Laundry / Bathroom Accessories,Cleaning Accessories,Brooms / Dustpans
216,Cleaning / Laundry / Bathroom Accessories,Cleaning Accessories,Detergent-free Cleaners
217,Cleaning / Laundry / Bathroom Accessories,Cleaning Accessories,Mops
218,Cleaning / Laundry / Bathroom Accessories,Cleaning Accessories,Other Cleaning Accessories
219,Cleaning / Laundry / Bathroom Accessories,Cleaning Accessories,Rags
220,Cleaning / Laundry / Bathroom Accessories,Cleaning Accessories,Tape Cleaners
221,Cleaning / Laundry / Bathroom Accessories,Cleaning Accessories,Trash Bags
222,Cleaning / Laundry / Bathroom Accessories,Home Organizations,Baskets
223,Cleaning / Laundry / Bathroom Accessories,Home Organizations,Blankets / Cloth Covers
224,Cleaning / Laundry / Bathroom Accessories,Home Organizations,Blankets / Vacuum Storage Bags
225,Cleaning / Laundry / Bathroom Accessories,Home Organizations,Containers / Boxes
226,Cleaning / Laundry / Bathroom Accessories,Home Organizations,Hangers
227,Cleaning / Laundry / Bathroom Accessories,Home Organizations,Other Storage / Organisational Accessories
228,Cleaning / Laundry / Bathroom Accessories,Home Organizations,Plastic Drawers
229,Cleaning / Laundry / Bathroom Accessories,Home Organizations,Racks
230,Cleaning / Laundry / Bathroom Accessories,Laundry / Drying equipment,Ironing Boards
231,Cleaning / Laundry / Bathroom Accessories,Laundry / Drying equipment,Laundry / Drying supplementary goods
232,Cleaning / Laundry / Bathroom Accessories,Laundry / Drying equipment,Laundry Dry Racks
233,Coffee / Tea,Brewed Coffee,Capsule Coffee
234,Coffee / Tea,Brewed Coffee,Ground Coffee and Whole Bean Coffee
235,Coffee / Tea,Brewed Coffee,Stick Type Brewed Coffee
236,Coffee / Tea,Brewed Coffee,Tea Bags and Ground Coffee
237,Coffee / Tea,Coffee Sets and Tea Sets,Coffee Sets
238,Coffee / Tea,Coffee Sets and Tea Sets,Tea Sets
239,Coffee / Tea,Premixed Coffee,Coffee Creamers
240,Coffee / Tea,Premixed Coffee,Iced Mixed Coffee
241,Coffee / Tea,Premixed Coffee,Mixed Coffee
242,Coffee / Tea,Premixed Coffee,Refill Coffee
243,Coffee / Tea,Tea,Cocoa
244,Coffee / Tea,Tea,Fruit Tea
245,Coffee / Tea,Tea,Green Tea and Black Tea
246,Coffee / Tea,Tea,Herbal Tea and Flower Tea
247,Coffee / Tea,Tea,Iced Tea
248,Coffee / Tea,Tea,Korean Traditional Tea
249,Coffee / Tea,Tea,Nut Tea
250,Coffee / Tea,Tea,Tea for Drinking Water
251,Computers,Computer Accessories,Computer Components
252,Computers,Computer Accessories,Computer Speakers
253,Computers,Computer Accessories,Data Storages
254,Computers,Computer Accessories,Keyboards
255,Computers,Computer Accessories,Mouses
256,Computers,Computer Accessories,Networking Devices
257,Computers,Computer Accessories,Other Computer Accessories
258,Computers,Computer Accessories,Printer Inks / Toners
259,Computers,Computer Accessories,Printers / Scanners
260,Computers,Computers / Laptops,Desktops
261,Computers,Computers / Laptops,Laptops
262,Computers,Computers / Laptops,Monitors
263,Computers,Computers / Laptops,Tablet PCs
264,Cooked Foods,Bakery,Bakery Cakes
265,Cooked Foods,Bakery,Bakery Gift Sets
266,Cooked Foods,Bakery,Bakery Ingredients
267,Cooked Foods,Bakery,Bakery Pastries
268,Cooked Foods,Bakery,Bakery Plain breads
269,Cooked Foods,Bakery,General Bakery Breads
270,Cooked Foods,Chilled Snacks,Gimbabs
271,Cooked Foods,Chilled Snacks,Hamburgers
272,Cooked Foods,Chilled Snacks,Ingredients Of Cold Snacks
273,Cooked Foods,Chilled Snacks,Lunch Boxes
274,Cooked Foods,Chilled Snacks,Other Chilled Snacks
275,Cooked Foods,Chilled Snacks,Salads
276,Cooked Foods,Chilled Snacks,Sandwiches
277,Cooked Foods,Chilled Snacks,Sushi
278,Cooked Foods,Chilled Snacks,Triangle Shaped Gimbabs
279,Cooked Foods,Cooked Side Dishes,Cooked Boiled-down Side Dishes
280,Cooked Foods,Cooked Side Dishes,Cooked Greens / Namuls / Pancakes
281,Cooked Foods,Cooked Side Dishes,Cooked Kimchi
282,Cooked Foods,Cooked Side Dishes,Cooked Korean Soups
283,Cooked Foods,Cooked Side Dishes,Cooked Salted Seafood
284,Cooked Foods,Cooked Side Dishes,Cooked Salted Side Dishes
285,Cooked Foods,Cooked Side Dishes,Cooked Seasoned Side Dishes
286,Cooked Foods,Cooked Side Dishes,Cooked Stir-Fried Side Dishes
287,Cooked Foods,Cooked Side Dishes,Ingredients Of Cooked Foods
288,Cooked Foods,Hot Snacks,Chickens
289,Cooked Foods,Hot Snacks,Cooked Fish Cakes
290,Cooked Foods,Hot Snacks,Fried Foods
291,Cooked Foods,Hot Snacks,Ingredients Of Hot Snacks
292,Cooked Foods,Hot Snacks,Jokbal
293,Cooked Foods,Hot Snacks,Other Hot Snacks
294,Cooked Foods,Hot Snacks,Pizza
295,Cooked Foods,Hot Snacks,Smoked Foods and Roasted Foods
296,Cooked Foods,Hot Snacks,Sundae
297,Cooked Foods,Traditional Rice Cakes,General Rice Cakes
298,Cooked Foods,Traditional Rice Cakes,Rice Cake For Cooking
299,Cosmetics / Beauty Care,Beauty Tools / Accessories,Cotton Swabs / Cotton Pads
300,Cosmetics / Beauty Care,Beauty Tools / Accessories,Empty Bottle / Facial Mask Tools
301,Cosmetics / Beauty Care,Beauty Tools / Accessories,Eyelashes / Double Eyelid Stickers
302,Cosmetics / Beauty Care,Beauty Tools / Accessories,Foot Care Tools
303,Cosmetics / Beauty Care,Beauty Tools / Accessories,Hair Brushes / Rollers
304,Cosmetics / Beauty Care,Beauty Tools / Accessories,Makeup Brushes
305,Cosmetics / Beauty Care,Beauty Tools / Accessories,Makeup Mirrors
306,Cosmetics / Beauty Care,Beauty Tools / Accessories,Makeup Sponges / Puffs
307,Cosmetics / Beauty Care,Beauty Tools / Accessories,Metal Beauty Kits
308,Cosmetics / Beauty Care,Beauty Tools / Accessories,Nail Care Tools
309,Cosmetics / Beauty Care,Beauty Tools / Accessories,Oil Blotting Papers
310,Cosmetics / Beauty Care,Beauty Tools / Accessories,Shower / Bathing Accessories / Headbands
311,Cosmetics / Beauty Care,Makeup,BB / Face Foundation / Compact Powder
312,Cosmetics / Beauty Care,Makeup,Eyebrow
313,Cosmetics / Beauty Care,Makeup,Eyeliners
314,Cosmetics / Beauty Care,Makeup,Eyeshadow
315,Cosmetics / Beauty Care,Makeup,Face Blushes / Bronzers / Highlighters
316,Cosmetics / Beauty Care,Makeup,Gel Polish / Nail Care
317,Cosmetics / Beauty Care,Makeup,General Nail Polish / Nail Care
318,Cosmetics / Beauty Care,Makeup,Lip Gloss / Lip Tint
319,Cosmetics / Beauty Care,Makeup,Lipsticks / Lipliners
320,Cosmetics / Beauty Care,Makeup,Makeup Base / Primer
321,Cosmetics / Beauty Care,Makeup,Makeup Sets
322,Cosmetics / Beauty Care,Makeup,Mascara
323,Cosmetics / Beauty Care,Makeup,Nail Sets
324,Cosmetics / Beauty Care,Makeup,Nail Stickers / Stones
325,Cosmetics / Beauty Care,Men's Care,Men's Cleansing Washes
326,Cosmetics / Beauty Care,Men's Care,Men's Skin Care
327,Cosmetics / Beauty Care,Men's Care,Men's Skin Care Sets
328,Cosmetics / Beauty Care,Men's Care,Men's Sun Protection / Makeup Goods
329,Cosmetics / Beauty Care,Perfumes,Men's Perfumes
330,Cosmetics / Beauty Care,Perfumes,Unisex Perfumes
331,Cosmetics / Beauty Care,Perfumes,Women's Perfume Sets
332,Cosmetics / Beauty Care,Perfumes,Women's Perfumes
333,Cosmetics / Beauty Care,Skin Care,Beauty Soaps
334,Cosmetics / Beauty Care,Skin Care,Creams / Balms / Oils
335,Cosmetics / Beauty Care,Skin Care,Emulsions / Lotions
336,Cosmetics / Beauty Care,Skin Care,Essence / Serums
337,Cosmetics / Beauty Care,Skin Care,Eye Care
338,Cosmetics / Beauty Care,Skin Care,Facial Cleansing Washes
339,Cosmetics / Beauty Care,Skin Care,Facial Masks
340,Cosmetics / Beauty Care,Skin Care,Facial Mist
341,Cosmetics / Beauty Care,Skin Care,Lip Balm / Lip Scrub
342,Cosmetics / Beauty Care,Skin Care,Skin Care Devices
343,Cosmetics / Beauty Care,Skin Care,Skin Care Sets
344,Cosmetics / Beauty Care,Skin Care,Toners
345,Cosmetics / Beauty Care,Sun Care,Sun Protection Goods
346,Cosmetics / Beauty Care,Sun Care,Tanning Oils / After Sun Care
347,Dairy Products,Milk,Fresh Milk
348,Dairy Products,Milk,Functional Milk
349,Dairy Products,Processed Dairy Products,Butter and Margarine
350,Dairy Products,Processed Dairy Products,Cheese
351,Dairy Products,Processed Dairy Products,Cream and Condensed milk
352,Dairy Products,Processed Milk,Flavored Milk
353,Dairy Products,Yogurt,General Yogurt
354,Dairy Products,Yogurt,Spoon Type Yogurts
355,Dairy Products,Yogurt,Yogurt Drinks
356,Detergents / Hygiene Goods,Air Freshners / Dehumidifiers / Odor Eliminators,Air Fresheners
357,Detergents / Hygiene Goods,Air Freshners / Dehumidifiers / Odor Eliminators,Dehumidifiers
358,Detergents / Hygiene Goods,Air Freshners / Dehumidifiers / Odor Eliminators,Fabric Deodorizers
359,Detergents / Hygiene Goods,Air Freshners / Dehumidifiers / Odor Eliminators,Odor Eliminators
360,Detergents / Hygiene Goods,Cleaning Detergents,Cleaning Detergents for Bathroom
361,Detergents / Hygiene Goods,Cleaning Detergents,Cleansing Detergent
362,Detergents / Hygiene Goods,Cleaning Detergents,Kitchen Cleaners
363,Detergents / Hygiene Goods,Cleaning Detergents,Mold Removers
364,Detergents / Hygiene Goods,Cleaning Detergents,Polishes
365,Detergents / Hygiene Goods,Cleaning Detergents,Rox / Cleaning Liquids
366,Detergents / Hygiene Goods,Dishwashing Detergents,General Dishwashing Liquids
367,Detergents / Hygiene Goods,Dishwashing Detergents,Multi-purpose Dishwashing Liquids
368,Detergents / Hygiene Goods,Insecticides,Ant / Cockroach Killers
369,Detergents / Hygiene Goods,Insecticides,Fly / Mosquito Killers
370,Detergents / Hygiene Goods,Insecticides,Insecticides
371,Detergents / Hygiene Goods,Laundry Detergents,Fabric Softeners
372,Detergents / Hygiene Goods,Laundry Detergents,Laundry Bleach Liquids
373,Detergents / Hygiene Goods,Laundry Detergents,Laundry Bleach Powder
374,Detergents / Hygiene Goods,Laundry Detergents,Laundry Detergent Liquids
375,Detergents / Hygiene Goods,Laundry Detergents,Laundry Detergent Powder
376,Detergents / Hygiene Goods,Laundry Detergents,Laundry Detergents For Special Purpose
377,Detergents / Hygiene Goods,Laundry Detergents,Laundry Detergents for Parts
378,Detergents / Hygiene Goods,Laundry Detergents,Laundry Soaps
379,Detergents / Hygiene Goods,Tissues and Papers,Kitchen Papers
380,Detergents / Hygiene Goods,Tissues and Papers,Makeup Tissues
381,Detergents / Hygiene Goods,Tissues and Papers,Napkins
382,Detergents / Hygiene Goods,Tissues and Papers,Toilet Papers
383,Detergents / Hygiene Goods,Tissues and Papers,Wet Tissues
384,Dried Sea Foods,Dried Fish,Dried / Shredded CodFish
385,Dried Sea Foods,Dried Fish,Dried Anchovies For Parching And Boiling
386,Dried Sea Foods,Dried Fish,Dried Anchovies For Soups
387,Dried Sea Foods,Dried Fish,Dried CodFish
388,Dried Sea Foods,Dried Fish,Dried FileFish
389,Dried Sea Foods,Dried Fish,Dried Mussels
390,Dried Sea Foods,Dried Fish,Dried Shrimps
391,Dried Sea Foods,Dried Fish,Dried Squids
392,Dried Sea Foods,Dried Fish,Fish Jerkies
393,Dried Sea Foods,Dried Fish,Mitra Squids
394,Dried Sea Foods,Dried Fish,Original Natural Seasonings
395,Dried Sea Foods,Dried Fish,Seasoned Squids
396,Dried Sea Foods,Dried Fish,Smoked Squids
397,Dried Sea Foods,Dried Sea Food Gift Sets,Anchovies Gift Sets
398,Dried Sea Foods,Dried Sea Food Gift Sets,Dried Laver Gift Sets
399,Dried Sea Foods,Dried Sea Food Gift Sets,Other Dried Seafood Gift Sets
400,Dried Sea Foods,Dried Sea Food Gift Sets,Yellow Corvina Fish Gift Sets
401,Dried Sea Foods,Half-dried Fish,Half-Dried Fish
402,Dried Sea Foods,Half-dried Fish,Half-Dried Squids
403,Dried Sea Foods,Half-dried Fish,Half-Dried Walleyed CodFish
404,Dried Sea Foods,Half-dried Fish,Yellow Corvina Fish
405,Dried Sea Foods,Processed Seaweeds,Dried Lavers
406,Dried Sea Foods,Processed Seaweeds,Dried Sea Mustard
407,Dried Sea Foods,Processed Seaweeds,Dried kelp
408,Dried Sea Foods,Processed Seaweeds,Seasoned Dried Lavers
409,Dried Sea Foods,Processed Seaweeds,Seasoned Fried Seaweed Chips
410,Dried Sea Foods,Processed Seaweeds,Seasoned Sliced Dried Lavers
411,Fashion Accessories,Bag Sets,Bag Sets
412,Fashion Accessories,Belts,Men's Belts
413,Fashion Accessories,Belts,Women's Belts
414,Fashion Accessories,Casual Bags,Accessory Bags
415,Fashion Accessories,Casual Bags,Casual Backpacks
416,Fashion Accessories,Casual Bags,Casual Cross-Body Backs
417,Fashion Accessories,Casual Bags,Casual Hipsacks
418,Fashion Accessories,Casual Bags,Casual Shoulder Bag
419,Fashion Accessories,Casual Bags,Kids' Bags
420,Fashion Accessories,Casual Bags,Laptop Bags
421,Fashion Accessories,Casual Bags,Student's Bags
422,Fashion Accessories,Eyewear / Sunglasses,Eyeglasses Frame
423,Fashion Accessories,Eyewear / Sunglasses,Kids' Sunglasses
424,Fashion Accessories,Eyewear / Sunglasses,Men's Sunglasses
425,Fashion Accessories,Eyewear / Sunglasses,Women's Sunglasses
426,Fashion Accessories,Fashion Accessories,Handkerchief
427,Fashion Accessories,Fashion Accessories,Kids' Fashion Accessories
428,Fashion Accessories,Fashion Accessories,Mufflers
429,Fashion Accessories,Fashion Accessories,Neck Warmers
430,Fashion Accessories,Fashion Accessories,Other Fashion Accessories
431,Fashion Accessories,Fashion Accessories,Scarfs
