기간,국가명,수출건수,수출금액,수입건수,수입금액,무역수지,기타사항
2016년 10월,중국,151026.0,11088002.0,257355.0,7708726.0,3379276.0,
2016년 10월,미국,77414.0,5401982.0,544386.0,3557050.0,1844932.0,
2016년 10월,일본,57163.0,2103254.0,113582.0,4220758.0,-2117504.0,
2016년 11월,중국,393415.0,11632781.0,290496.0,8105534.0,3527247.0,
2016년 11월,미국,79236.0,5723086.0,556647.0,3752768.0,1970318.0,
2016년 11월,일본,59320.0,2275227.0,121773.0,4291368.0,-2016141.0,
2016년 12월,중국,218731.0,12053353.0,283218.0,7951898.0,4101455.0,
2016년 12월,미국,76618.0,5741228.0,608800.0,4187673.0,1553555.0,
2016년 12월,일본,56273.0,2223174.0,129552.0,4529300.0,-2306126.0,
2017년 01월,중국,127188.0,10754709.0,248961.0,7962489.0,2792221.0,
2017년 01월,미국,68738.0,4940101.0,551071.0,3969132.0,970969.0,
2017년 01월,일본,52049.0,2130048.0,114507.0,3759196.0,-1629148.0,
2017년 02월,중국,159062.0,11118131.0,188555.0,6600637.0,4517495.0,
2017년 02월,미국,74568.0,5312453.0,583915.0,3754033.0,1558420.0,
2017년 02월,일본,57983.0,2044853.0,156824.0,4468456.0,-2423603.0,
2017년 03월,중국,179973.0,11655511.0,300311.0,8825357.0,2830153.0,
2017년 03월,미국,82779.0,6200928.0,664609.0,4411901.0,1789027.0,
2017년 03월,일본,65093.0,2395932.0,165734.0,5157589.0,-2761657.0,
2017년 04월,중국,143160.0,10589664.0,275171.0,7913344.0,2676320.0,
2017년 04월,미국,78716.0,6035663.0,634462.0,4390391.0,1645272.0,
2017년 04월,일본,59104.0,2108330.0,147891.0,4566854.0,-2458524.0,
2017년 05월,중국,160602.0,10652552.0,281600.0,8091621.0,2560931.0,
2017년 05월,미국,76830.0,5523902.0,630016.0,4703319.0,820583.0,
2017년 05월,일본,56247.0,2182626.0,147059.0,4380630.0,-2198004.0,
2017년 06월,중국,229976.0,10675442.0,280994.0,8351750.0,2323693.0,
2017년 06월,미국,80472.0,5980992.0,674469.0,4806054.0,1174938.0,
2017년 06월,일본,61570.0,2350969.0,160124.0,4773364.0,-2422395.0,
2017년 07월,중국,167999.0,10791084.0,271387.0,7769042.0,3022042.0,
2017년 07월,미국,75249.0,5660934.0,634483.0,4082845.0,1578089.0,
2017년 07월,일본,59020.0,2162170.0,147701.0,4458763.0,-2296592.0,
2017년 08월,중국,204939.0,11912499.0,273227.0,8116608.0,3795891.0,
2017년 08월,미국,76280.0,5952844.0,689761.0,4544311.0,1408533.0,
2017년 08월,일본,54463.0,2107246.0,141268.0,4535866.0,-2428621.0,
2017년 09월,중국,183442.0,13540683.0,295443.0,8443414.0,5097269.0,
2017년 09월,미국,84542.0,6597924.0,744685.0,4077686.0,2520238.0,
2017년 09월,일본,73622.0,2516088.0,146255.0,4925623.0,-2409535.0,
2017년 10월,중국,137873.0,12580474.0,244977.0,7932403.0,4648071.0,
2017년 10월,미국,63774.0,4726842.0,627474.0,3448257.0,1278585.0,
2017년 10월,일본,63510.0,1847999.0,127696.0,4418583.0,-2570584.0,
2017년 11월,중국,421194.0,14000887.0,307790.0,9253318.0,4747569.0,
2017년 11월,미국,81063.0,6381591.0,727435.0,4194796.0,2186795.0,
2017년 11월,일본,75244.0,2520013.0,151137.0,4731861.0,-2211848.0,
2017년 12월,중국,218114.0,13848364.0,290347.0,8600132.0,5248232.0,
2017년 12월,미국,76610.0,5295553.0,750205.0,4366640.0,928914.0,
2017년 12월,일본,72429.0,2449867.0,149326.0,4947939.0,-2498072.0,
2018년 01월,중국,192807.0,13381305.0,284482.0,9156930.0,4224375.0,
2018년 01월,미국,75583.0,5159691.0,802700.0,4930570.0,229121.0,
2018년 01월,일본,74712.0,2583914.0,139728.0,4485213.0,-1901299.0,
2018년 02월,중국,119556.0,11522664.0,202281.0,7598364.0,3924300.0,
2018년 02월,미국,70480.0,4682548.0,689587.0,4528135.0,154412.0,
2018년 02월,일본,65535.0,2446180.0,145548.0,4513249.0,-2067069.0,
2018년 03월,중국,232396.0,13576667.0,267249.0,8412516.0,5164151.0,
2018년 03월,미국,84717.0,6078616.0,862930.0,5207431.0,871186.0,
2018년 03월,일본,80142.0,2603450.0,159601.0,5226141.0,-2622691.0,
2018년 04월,중국,193950.0,13034964.0,295562.0,8720320.0,4314645.0,
2018년 04월,미국,82219.0,5942114.0,812544.0,4757057.0,1185057.0,
2018년 04월,일본,76556.0,2482756.0,151023.0,4939589.0,-2456833.0,
2018년 05월,중국,214145.0,13851900.0,307183.0,9279720.0,4572180.0,
2018년 05월,미국,84260.0,6153033.0,807704.0,4822091.0,1330941.0,
2018년 05월,일본,80509.0,2513782.0,146869.0,4422428.0,-1908646.0,
2018년 06월,중국,257130.0,13814241.0,279023.0,8713018.0,5101223.0,
2018년 06월,미국,79962.0,6421518.0,786563.0,4788171.0,1633347.0,
2018년 06월,일본,80164.0,2578913.0,146401.0,4450259.0,-1871347.0,
2018년 07월,중국,181772.0,13721233.0,293164.0,8869278.0,4851955.0,
2018년 07월,미국,81900.0,6151681.0,794681.0,4904394.0,1247287.0,
2018년 07월,일본,87447.0,2542258.0,144562.0,4585406.0,-2043148.0,
2018년 08월,중국,199010.0,14401521.0,280033.0,8525532.0,5875989.0,
2018년 08월,미국,82990.0,6048102.0,826592.0,4832945.0,1215157.0,
2018년 08월,일본,70014.0,2409640.0,142196.0,4232368.0,-1822728.0,
2018년 09월,중국,171328.0,14590529.0,280337.0,7889890.0,6700639.0,
2018년 09월,미국,75245.0,5821081.0,805331.0,4347494.0,1473587.0,
2018년 09월,일본,65154.0,2469037.0,130125.0,4181051.0,-1712014.0,
2018년 10월,중국,169809.0,14767041.0,319876.0,9963108.0,4803932.0,
2018년 10월,미국,92077.0,6980164.0,879378.0,5587854.0,1392310.0,
2018년 10월,일본,86254.0,2764708.0,165624.0,4972817.0,-2208110.0,
2018년 11월,중국,417578.0,13558761.0,332767.0,9852084.0,3706677.0,
2018년 11월,미국,90202.0,6840971.0,888679.0,4878622.0,1962348.0,
2018년 11월,일본,83816.0,2707331.0,158235.0,4322176.0,-1614845.0,
2018년 12월,중국,170869.0,11904229.0,319703.0,9507831.0,2396398.0,
2018년 12월,미국,81051.0,6440415.0,922161.0,5283548.0,1156867.0,
2018년 12월,일본,75345.0,2426612.0,154419.0,4273053.0,-1846441.0,
2019년 01월,중국,158420.0,10836336.0,335271.0,10338825.0,497512.0,
2019년 01월,미국,86998.0,6209466.0,997963.0,5290688.0,918778.0,
2019년 01월,일본,84021.0,2617333.0,157530.0,4050305.0,-1432973.0,
2019년 02월,중국,143915.0,9532194.0,179986.0,6583455.0,2948739.0,
2019년 02월,미국,73370.0,5442457.0,876617.0,4371194.0,1071263.0,
2019년 02월,일본,74850.0,2296310.0,152511.0,3807446.0,-1511136.0,
2019년 03월,중국,180955.0,11442781.0,310089.0,8804782.0,2637999.0,
2019년 03월,미국,86069.0,6319152.0,1047622.0,5022184.0,1296969.0,
2019년 03월,일본,89549.0,2261652.0,175711.0,4315381.0,-2053729.0,
2019년 04월,중국,196716.0,12429813.0,335634.0,9793054.0,2636759.0,
2019년 04월,미국,90707.0,6158443.0,1028828.0,5585755.0,572688.0,
2019년 04월,일본,93545.0,2277192.0,175092.0,4632881.0,-2355689.0,
2019년 05월,중국,214219.0,11014513.0,323420.0,9943419.0,1071094.0,
2019년 05월,미국,90590.0,6500301.0,1021725.0,5512696.0,987605.0,
2019년 05월,일본,93981.0,2533489.0,168823.0,3715764.0,-1182275.0,
2019년 06월,중국,245914.0,10422956.0,295949.0,8656551.0,1766405.0,
2019년 06월,미국,84312.0,6249176.0,997808.0,4671519.0,1577657.0,
2019년 06월,일본,99213.0,2255619.0,171852.0,3881638.0,-1626019.0,
2019년 07월,중국,189025.0,11444067.0,327087.0,9392846.0,2051221.0,
2019년 07월,미국,90428.0,6113230.0,1042522.0,5383261.0,729968.0,
2019년 07월,일본,91181.0,2545212.0,168180.0,4203610.0,-1658399.0,
2019년 08월,중국,235133.0,11287793.0,294380.0,8312968.0,2974826.0,
2019년 08월,미국,85255.0,5619803.0,1038766.0,5175083.0,444720.0,
2019년 08월,일본,88150.0,2243165.0,116601.0,3886997.0,-1643832.0,
2019년 09월,중국,215205.0,11362386.0,301974.0,8197068.0,3165318.0,
2019년 09월,미국,84751.0,5690676.0,1056190.0,4758785.0,931891.0,
2019년 09월,일본,110247.0,2310566.0,118626.0,3822451.0,-1511885.0,
2019년 10월,중국,230736.0,12243754.0,330884.0,9215893.0,3027860.0,
2019년 10월,미국,93621.0,6357758.0,1135355.0,4963127.0,1394632.0,
2019년 10월,일본,145804.0,2372581.0,130743.0,3816086.0,-1443505.0,
2019년 11월,중국,528240.0,11888955.0,367041.0,8966004.0,2922951.0,
2019년 11월,미국,111932.0,6265034.0,1181123.0,5273129.0,991906.0,
2019년 11월,일본,139765.0,2410613.0,131752.0,3523164.0,-1112551.0,
2019년 12월,중국,235462.0,12296986.0,375729.0,9023873.0,3273112.0,
2019년 12월,미국,89297.0,6418400.0,1177571.0,5871143.0,547257.0,
2019년 12월,일본,131813.0,2296481.0,132851.0,3925130.0,-1628648.0,
2020년 01월,중국,141469.0,9643098.0,311798.0,9424771.0,218328.0,
2020년 01월,미국,84310.0,5740533.0,1207004.0,5581166.0,159367.0,
2020년 01월,일본,117132.0,2435103.0,122945.0,3162942.0,-727839.0,
2020년 02월,중국,145597.0,8825812.0,161810.0,5551228.0,3274584.0,
2020년 02월,미국,88413.0,5932556.0,1356388.0,5435320.0,497236.0,
2020년 02월,일본,121193.0,2265303.0,136473.0,3771732.0,-1506429.0,
2020년 03월,중국,248059.0,10658599.0,358234.0,8948918.0,1709682.0,
2020년 03월,중국,248059.0,10658599.0,358234.0,8948918.0,1709682.0,
2020년 03월,미국,97117.0,7292838.0,1368345.0,5388338.0,1904500.0,
2020년 03월,일본,150602.0,2486175.0,153670.0,4394441.0,-1908266.0,
2020년 04월,중국,194716.0,10164071.0,365746.0,9619835.0,544236.0,
2020년 04월,미국,105360.0,,1141118.0,5038739.0,,
2020년 04월,일본,134118.0,1989323.0,141207.0,3989562.0,-2000239.0,
2020년 05월,중국,185320.0,10746069.0,349007.0,8989920.0,1756149.0,
2020년 05월,미국,126598.0,4600726.0,1157163.0,4286873.0,313853.0,
2020년 05월,일본,166568.0,1798128.0,133763.0,3102734.0,-1304606.0,
2020년 06월,중국,,,,,,
2020년 06월,미국,,,,,,
2020년 06월,일본,,,,,,
